age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
42.905575,Private,168765.3,HS-grad,9.248166,Divorced,Adm-clerical,Not-in-family,White,Female,-23.589128,-1.0249308,37.818867,United-States,<=50K
42.42434,Private,183819.53,10th,4.834686,Married-civ-spouse,Craft-repair,Wife,White,Male,-8.313738,-1.278181,38.81447,United-States,<=50K
41.479145,Private,169944.19,HS-grad,9.136225,Married-civ-spouse,Transport-moving,Husband,White,Male,-11.640886,-1.2260035,41.646942,United-States,<=50K
30.646019,Private,177861.62,HS-grad,9.3166685,Never-married,Handlers-cleaners,Not-in-family,White,Male,-21.205095,-1.1759242,39.16244,United-States,<=50K
23.235142,Private,177101.08,HS-grad,9.248928,Never-married,Handlers-cleaners,Own-child,White,Male,-15.548235,-1.2351741,32.403107,United-States,<=50K
31.591515,Private,174588.3,Bachelors,12.8348675,Never-married,Prof-specialty,Not-in-family,White,Male,-24.27785,-1.1229838,40.435513,United-States,<=50K
37.842182,Private,172055.97,HS-grad,9.538159,Married-civ-spouse,Adm-clerical,Wife,White,Male,-22.57326,1833.1642,40.105724,United-States,<=50K
42.297398,Private,163405.62,Bachelors,12.728659,Married-civ-spouse,Adm-clerical,Husband,White,Male,-12.120256,-1.2223719,41.391525,United-States,<=50K
26.439829,State-gov,177523.72,HS-grad,9.272219,Never-married,Exec-managerial,Own-child,White,Male,-30.480486,-0.9882335,34.98928,United-States,<=50K
43.961666,Private,162013.77,Bachelors,12.667737,Divorced,Prof-specialty,Not-in-family,White,Female,-7.702044,-0.7244777,40.046383,United-States,<=50K
44.606716,Private,172652.02,HS-grad,9.229378,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,332.49442,-1.2743586,44.751167,United-States,>50K
43.558384,Private,171199.34,Bachelors,13.236337,Married-civ-spouse,Prof-specialty,Husband,White,Male,-10.678606,-1.316595,45.108055,United-States,>50K
43.793873,Private,174270.58,9th,11.450832,Married-civ-spouse,Prof-specialty,Husband,White,Male,-21.274187,1997.7296,45.55287,United-States,>50K
41.957157,Private,164128.62,Bachelors,12.836347,Married-civ-spouse,Prof-specialty,Husband,White,Male,548.69354,-2.041174,45.65961,Dominican-Republic,>50K
44.266117,Private,170156.2,HS-grad,9.380215,Married-civ-spouse,Adm-clerical,Wife,White,Female,840.236,-1.1824244,39.812706,United-States,>50K
42.24894,Private,175845.9,Bachelors,12.730765,Never-married,Exec-managerial,Not-in-family,White,Male,1704.7758,-1.3326548,45.970474,United-States,>50K
45.546116,Private,173271.08,Bachelors,13.221892,Married-civ-spouse,Exec-managerial,Husband,White,Male,9792.958,-1.3303584,45.844666,United-States,>50K
46.009106,Private,170429.02,Bachelors,12.869611,Married-civ-spouse,Exec-managerial,Husband,White,Male,100030.12,-1.0589503,49.619133,United-States,>50K
43.09609,Private,174009.72,Bachelors,12.840395,Married-civ-spouse,Sales,Husband,White,Male,-2.4292169,-0.715681,47.054794,United-States,>50K
39.48064,Private,167585.11,Bachelors,12.991201,Married-civ-spouse,Prof-specialty,Wife,White,Female,545.1249,-1.0740565,38.808254,United-States,>50K
