X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
264408.03,1,1,2,32.44578,0,0,0,0,0,-2,254212.39,246547.61,210884.4,179662.0,9629.125,-4000.6257,14226.321,10525.034,5971.583,2382.579,-1840.8273,3076.4214,0
253535.0,2,5,0,51.57596,-1,5,-1,-1,3,-1,154742.11,3179.0183,256787.6,-68379.08,-88823.6,81237.875,64325.22,555169.0,112239.94,46489.027,221609.31,-2906.041,0
367919.66,2,3,0,28.710258,-1,-2,-1,3,-1,-1,49347.793,54207.55,74688.875,-20460.633,-165326.7,182150.7,168149.34,505176.44,358294.06,128932.766,986.7337,-397.06546,0
462577.75,2,3,0,20.794428,-1,-2,-1,3,-1,-1,77017.445,739405.25,195337.66,-17717.977,156632.88,86636.945,81038.55,484083.56,263378.22,66664.99,-33730.973,5180.428,0
104993.11,2,5,0,46.41246,-1,0,8,2,-1,-1,108209.516,663.42444,205549.34,634.5933,499514.4,110467.26,38801.87,353425.8,108367.04,81288.01,134633.78,5496.0425,0
347693.44,2,1,1,28.486935,0,2,2,-2,-1,-1,238912.05,258339.52,245698.1,199350.5,421788.75,179554.6,89938.734,16795.186,137195.22,84340.06,12317.929,33864.848,0
235829.92,2,2,2,30.745367,1,-1,2,0,0,-1,-13779.625,19353.166,140191.27,58062.883,133820.3,202686.11,65808.805,94599.22,80554.88,-3648.6245,75718.92,18090.656,0
364310.47,2,1,1,38.318554,-1,0,0,-1,0,-1,35021.805,-134316.42,271545.7,208020.39,369479.28,-39530.996,24901.291,105474.24,55378.22,20236.705,5811.658,-24340.674,0
344668.9,1,2,1,30.299,1,-1,2,0,0,-1,36249.65,220712.77,178180.67,13558.254,47903.27,62021.926,89184.25,4314.607,13743.755,14860.98,16611.0,517.38916,0
324264.4,2,1,1,39.348892,-1,2,-1,-1,-1,-1,-8784.648,-36087.668,101280.6,229287.5,3736.6016,-10695.462,42591.05,18881.406,143925.89,13001.244,-2229.862,17847.387,0
283492.16,2,1,0,34.141964,-1,0,-1,-2,0,7,147909.72,134553.55,259092.94,199930.38,138351.89,160107.36,20467.781,207835.12,96774.95,42710.113,-4794.0986,37873.27,0
481194.4,2,2,2,32.047695,1,-2,-2,-2,-1,0,-10383.32,33268.21,-4298.975,4733.195,352646.5,210121.73,-788.71063,10299.416,1282.994,86448.19,19662.818,-1859.106,0
413116.28,2,1,1,40.01071,-1,2,0,-1,0,-1,186213.77,241024.92,249780.84,179744.89,268548.47,135939.8,77092.82,-3611.7402,36025.46,16532.684,43338.926,3285.2693,0
424869.66,2,1,1,52.48967,0,0,0,-1,0,7,177542.12,200618.36,351270.53,221155.23,369117.75,186742.58,53798.38,32095.861,137886.55,53145.383,11894.458,51747.973,0
316683.53,2,2,2,36.13674,-1,-2,-2,-2,-2,-2,-27637.754,3781.5535,-2734.7407,160175.55,-21889.668,197446.4,-2255.842,7964.113,120761.85,4570.0513,8764.271,5638.6104,0
