age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
21.087862,Private,189461.22,HS-grad,8.850177,Never-married,Other-service,Own-child,White,Male,14.11241,-0.11971085,19.79506,United-States,<=50K
28.337173,Private,221475.23,HS-grad,9.003718,Never-married,Other-service,Not-in-family,Black,Male,8.117414,-0.48811904,40.020115,United-States,<=50K
29.896944,Private,187061.81,Bachelors,12.993315,Never-married,Prof-specialty,Not-in-family,White,Male,11.439314,-0.72194475,40.19495,United-States,<=50K
38.457058,Private,163906.61,HS-grad,8.991391,Married-civ-spouse,Craft-repair,Husband,White,Male,15.809065,-1.5864238,40.96869,United-States,<=50K
29.518093,Private,167116.64,Bachelors,12.529482,Never-married,Exec-managerial,Not-in-family,White,Female,3.0633368,0.5206471,41.521828,United-States,<=50K
39.505558,Private,148313.8,Some-college,9.9231,Married-civ-spouse,Transport-moving,Husband,White,Male,-5.8543878,-0.42745772,45.437393,United-States,<=50K
43.73089,Private,194157.64,HS-grad,9.111272,Separated,Other-service,Other-relative,Black,Female,1.7587715,0.10138138,39.13215,United-States,<=50K
39.822784,Private,175674.84,Masters,14.175951,Never-married,Prof-specialty,Not-in-family,White,Female,-17.274187,-0.92026323,41.872486,United-States,<=50K
29.25174,Private,166672.33,Some-college,10.592112,Never-married,Sales,Not-in-family,White,Male,6.2711005,-0.8953456,43.311947,United-States,<=50K
30.355999,Private,164843.86,Bachelors,12.998668,Never-married,Prof-specialty,Not-in-family,White,Female,6.2853827,-0.03487198,40.182743,United-States,<=50K
22.2509,?,176209.97,Some-college,10.143531,Never-married,?,Own-child,White,Female,10.62657,0.26709184,26.88387,United-States,<=50K
39.578575,Private,174291.98,HS-grad,8.980792,Divorced,Adm-clerical,Not-in-family,White,Male,4.5317206,-1.2480754,42.53843,United-States,<=50K
24.82545,Private,189651.94,10th,5.925892,Never-married,Armed-Forces,Not-in-family,White,Male,-4.3645196,0.24019058,40.019936,United-States,<=50K
20.141647,Private,196613.52,Some-college,9.272853,Never-married,Sales,Own-child,White,Female,14.860945,0.010759429,20.978231,United-States,<=50K
18.67526,Private,177167.39,11th,6.4486437,Never-married,Other-service,Own-child,White,Male,14.647078,0.36227617,17.61514,United-States,<=50K
25.111135,Private,171739.78,HS-grad,8.993989,Never-married,?,Own-child,White,Male,16.856916,-0.7166881,40.102337,United-States,<=50K
28.236738,Private,393489.0,HS-grad,8.355258,Never-married,?,Not-in-family,White,Male,14.711164,0.009706573,39.381058,United-States,<=50K
46.31262,Private,174803.62,HS-grad,9.000606,Divorced,Adm-clerical,Not-in-family,White,Female,12.672468,-0.8734645,40.04865,United-States,<=50K
46.614937,Without-pay,143951.47,HS-grad,8.932458,Married-civ-spouse,Sales,Husband,White,Male,6.3923163,-1.3628978,51.964634,United-States,<=50K
53.75033,Private,183165.88,Some-college,11.583647,Divorced,Adm-clerical,Not-in-family,White,Female,-1.7055839,0.4901143,16.663446,United-States,<=50K
27.259909,Private,164664.73,HS-grad,8.999,Never-married,Adm-clerical,Not-in-family,White,Female,15.887434,-1.0456446,39.87428,United-States,<=50K
49.0846,Private,186815.17,11th,5.1888795,Divorced,Machine-op-inspct,Not-in-family,White,Female,-37.775654,-0.4103755,40.02071,United-States,<=50K
40.605686,Private,163412.05,Bachelors,13.075743,Married-civ-spouse,Sales,Husband,White,Male,-10.8799,0.5099736,44.70336,United-States,<=50K
39.307835,Private,166905.05,Bachelors,13.264413,Married-civ-spouse,Prof-specialty,Husband,White,Male,-2.4754815,-0.18290512,42.997288,United-States,<=50K
29.28512,Private,157574.97,HS-grad,8.993609,Never-married,Other-service,Not-in-family,White,Female,13.70616,0.20031174,39.001205,United-States,<=50K
27.64812,Private,166481.89,Some-college,10.144617,Never-married,Adm-clerical,Not-in-family,White,Female,5.2018867,0.3720189,40.017387,United-States,<=50K
41.271954,Private,178218.48,Some-college,11.110504,Divorced,Craft-repair,Not-in-family,White,Male,-15.356585,-0.9360332,42.620777,United-States,<=50K
63.59802,Private,172134.83,HS-grad,9.485398,Married-civ-spouse,Adm-clerical,Husband,White,Male,-4.250506,-1.1929377,16.254967,United-States,<=50K
40.445717,Private,161155.88,HS-grad,9.038204,Divorced,Other-service,Other-relative,White,Female,13.31407,0.6583119,39.527412,United-States,<=50K
42.459076,Private,169720.86,Some-college,10.90755,Divorced,Craft-repair,Other-relative,White,Female,-3.8726983,0.17199905,40.22699,United-States,<=50K
38.366295,Private,371249.12,HS-grad,7.9552484,Married-civ-spouse,Adm-clerical,Husband,White,Male,2.799543,-0.5769939,40.753166,United-States,<=50K
62.55839,Private,173448.66,HS-grad,7.7578096,Widowed,Armed-Forces,Not-in-family,White,Female,6.912702,0.51582533,15.657544,United-States,<=50K
24.27157,Private,181316.11,Some-college,9.971869,Never-married,Handlers-cleaners,Own-child,White,Male,8.737532,0.44792375,40.018574,United-States,<=50K
38.796925,Private,155059.28,Some-college,9.959218,Married-civ-spouse,Craft-repair,Husband,White,Male,10.355696,-1.1783351,42.083546,United-States,<=50K
29.39554,Private,169159.28,HS-grad,8.984106,Never-married,?,Not-in-family,White,Male,15.281477,-1.1888255,41.67325,United-States,<=50K
22.049374,Private,179685.64,Some-college,10.453054,Never-married,Handlers-cleaners,Own-child,White,Female,13.050276,0.48098955,19.127943,United-States,<=50K
36.729794,Private,177188.81,HS-grad,8.999027,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,14.547224,-1.2123088,41.54197,United-States,<=50K
36.96673,Private,356668.16,Some-college,10.480288,Married-civ-spouse,Adm-clerical,Husband,White,Male,1.6804024,-0.56027025,42.299976,United-States,<=50K
28.693419,Private,386460.12,Some-college,11.021781,Never-married,Adm-clerical,Not-in-family,White,Male,11.724348,0.2424794,39.06423,United-States,<=50K
43.140762,Private,175357.22,11th,5.419248,Married-civ-spouse,?,Husband,White,Male,2.7282538,-0.17194168,41.211716,United-States,<=50K
43.57449,Private,215426.77,HS-grad,8.664079,Married-civ-spouse,?,Husband,Black,Male,214.45073,0.039545134,41.629227,United-States,>50K
40.50311,Private,167008.72,Bachelors,12.983383,Married-civ-spouse,Sales,Husband,White,Male,15.509626,0.75428206,45.810356,United-States,>50K
45.73031,Private,165443.56,Masters,14.526723,Married-civ-spouse,Prof-specialty,Husband,White,Male,453.43948,1.2362233,44.51398,United-States,>50K
40.869587,Private,163882.3,Some-college,10.125434,Married-civ-spouse,Craft-repair,Husband,White,Male,13.428083,0.95289046,43.710117,United-States,>50K
44.619087,Private,159503.44,Some-college,9.950814,Married-civ-spouse,Craft-repair,Husband,White,Male,8425.703,1.130068,43.95309,United-States,>50K
40.680977,Private,181949.52,9th,12.921037,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,100060.17,0.38413438,43.639473,United-States,>50K
34.791943,Private,161556.95,Bachelors,12.364422,Never-married,Craft-repair,Not-in-family,White,Male,7.46153,0.2674733,46.321877,United-States,>50K
44.025196,Private,178531.69,Bachelors,13.0041685,Married-civ-spouse,Exec-managerial,Husband,White,Male,10155.46,0.06659134,46.770145,United-States,>50K
39.54622,Private,188518.6,Assoc-acdm,12.887833,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,-4.7779717,2094.7988,40.377075,United-States,>50K
40.81586,Private,337540.12,Bachelors,13.351298,Married-civ-spouse,Prof-specialty,Husband,White,Male,188.94505,0.27881822,44.594147,United-States,>50K
40.898018,Private,372339.34,HS-grad,8.849899,Married-civ-spouse,Craft-repair,Husband,White,Male,165.84886,-1.5802897,42.867134,United-States,>50K
44.39797,Private,184502.86,HS-grad,8.711585,Married-civ-spouse,Sales,Husband,White,Male,12.159285,1930.8635,45.72821,United-States,>50K
46.578842,Private,191819.95,Prof-school,13.324172,Married-civ-spouse,Craft-repair,Husband,White,Male,100037.94,0.04855545,51.2674,United-States,>50K
47.480556,Private,187923.45,Bachelors,12.342932,Divorced,Exec-managerial,Not-in-family,White,Male,16427.936,-0.6704082,45.111843,United-States,>50K
35.564545,Private,167390.05,Bachelors,12.893864,Never-married,Exec-managerial,Not-in-family,White,Male,13586.103,-0.47464553,44.880463,United-States,>50K
45.26718,Private,171491.28,Masters,14.360736,Widowed,Prof-specialty,Not-in-family,White,Female,332.49802,-0.23085587,45.02153,United-States,>50K
45.154728,Private,161436.58,HS-grad,8.903152,Married-civ-spouse,Exec-managerial,Husband,White,Male,263.85092,0.44350633,45.35992,United-States,>50K
40.505,Private,359383.0,Some-college,10.120958,Married-civ-spouse,Craft-repair,Husband,White,Male,70.40587,-0.07025711,44.197765,United-States,>50K
42.81665,Private,377813.88,9th,13.457262,Married-civ-spouse,Exec-managerial,Husband,White,Male,490.65714,-1.5595225,46.286236,United-States,>50K
43.166256,Private,155532.7,Some-college,10.135581,Married-civ-spouse,Exec-managerial,Husband,White,Male,13.421003,0.86848646,47.108852,United-States,>50K
42.95384,Private,178082.84,Assoc-acdm,12.444281,Married-civ-spouse,Exec-managerial,Husband,White,Male,9.578718,1974.9507,47.15579,United-States,>50K
39.89678,Private,151632.34,Bachelors,13.138869,Married-civ-spouse,Prof-specialty,Husband,White,Male,-16.240496,0.13351639,44.873497,United-States,>50K
40.785736,Private,170124.55,Bachelors,12.968546,Married-civ-spouse,Exec-managerial,Husband,White,Male,14.005476,0.19642074,45.991028,United-States,>50K
47.63561,Private,164693.9,HS-grad,8.931133,Divorced,Craft-repair,Not-in-family,White,Male,394.4586,-0.039098665,43.884106,United-States,>50K
43.23382,Private,201886.34,Bachelors,13.937229,Married-civ-spouse,Prof-specialty,Husband,White,Male,5.6723456,1987.8325,46.81579,United-States,>50K
41.793724,Private,177229.69,HS-grad,8.996923,Married-civ-spouse,Adm-clerical,Wife,White,Female,345.38626,-0.6324672,38.019913,United-States,>50K
47.21035,State-gov,150763.66,HS-grad,8.943795,Married-civ-spouse,Adm-clerical,Husband,White,Male,-12.826067,-0.08607285,42.377308,United-States,>50K
43.443935,Private,166088.98,Bachelors,13.573763,Widowed,Prof-specialty,Not-in-family,White,Female,-18.956438,-0.56141466,45.31579,United-States,>50K
36.89709,Private,377288.2,Assoc-acdm,12.874169,Never-married,Prof-specialty,Not-in-family,White,Male,580.11224,-0.6803493,46.244793,United-States,>50K
40.78722,Local-gov,187670.25,Some-college,10.678336,Married-civ-spouse,Protective-serv,Husband,White,Male,-25.286516,-0.41486922,44.58401,United-States,>50K
62.368076,Private,182563.73,Assoc-acdm,12.520012,Married-civ-spouse,Craft-repair,Husband,White,Male,481.78934,-2.1926708,13.089614,United-States,>50K
45.983646,Self-emp-not-inc,163723.17,Prof-school,14.665512,Married-civ-spouse,Prof-specialty,Husband,White,Male,2573.6077,-0.17528336,46.874508,United-States,>50K
42.323925,Private,162150.69,HS-grad,8.924894,Married-civ-spouse,Craft-repair,Husband,White,Male,64.8029,0.046571806,42.518383,United-States,>50K
42.199142,Private,170897.33,HS-grad,8.957362,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,25.318342,0.6760884,41.33371,United-States,>50K
45.03541,Private,164705.5,Masters,14.150612,Married-civ-spouse,Exec-managerial,Husband,White,Male,397.88022,1.2067357,47.89102,United-States,>50K
44.429146,Private,165370.48,Assoc-acdm,11.700629,Divorced,Craft-repair,Not-in-family,White,Male,-4.3004327,-0.29464522,45.90396,United-States,>50K
44.334816,Private,154439.44,HS-grad,8.719872,Married-civ-spouse,Sales,Husband,White,Male,138.88902,0.7799702,53.620167,United-States,>50K
37.58409,Private,177045.08,Assoc-acdm,11.677032,Married-civ-spouse,Craft-repair,Wife,White,Female,135.08952,-0.45533553,38.31574,United-States,>50K
40.818363,Local-gov,167476.95,Masters,13.972764,Married-civ-spouse,Prof-specialty,Wife,White,Female,515.0793,-0.5898189,40.327126,United-States,>50K
45.181767,Federal-gov,142057.22,Bachelors,12.92587,Married-civ-spouse,Craft-repair,Husband,White,Male,-18.129656,1.1213781,41.61017,United-States,>50K
