X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
9575.316,1,2,2,24.847164,2,2,3,3,3,3,5545.836,-8426.403,5851.2983,2328.73,871.92194,4724.331,1502.6091,341.04,209.74324,298.9707,397.9876,975.2788,0
16470.332,1,2,2,24.822615,2,2,2,2,2,2,-4095.9492,1200.4518,1477.7671,9056.238,3586.8125,-972.0398,699.8245,-1195.9009,1289.1393,247.25441,1501.6605,590.17676,0
15307.91,1,2,1,29.875286,4,3,2,2,2,3,11495.215,9374.706,14906.035,17831.432,23887.688,22161.95,241.38113,516.9375,143.29793,526.0835,1716.7045,1435.8152,0
40925.8,1,2,1,28.875761,3,2,2,4,4,4,-7238.6953,-10327.72,1755.7671,7250.7886,893.0743,-732.3523,1637.1582,-1742.1147,182.02596,80.233406,1031.5519,1670.8677,0
38406.504,1,2,1,43.306747,3,2,2,2,2,2,-15566.566,-791.6029,3561.474,8612.969,7148.8516,3272.1985,1809.9075,1509.2339,783.84186,-40.564934,2285.2651,1014.6836,0
85458.43,2,1,2,29.700363,2,2,3,3,3,3,9519.875,-5905.4624,5754.7515,3257.6753,-213.4023,4268.706,1754.5745,276.10837,588.69293,1720.0186,7.0174026,979.5332,0
7512.3325,1,2,2,25.79175,2,2,2,2,2,3,35052.168,22884.406,24862.008,30443.137,31813.357,28961.541,146.7283,2799.4473,934.856,5120.583,1084.6315,1620.1914,0
8103.4106,1,2,2,24.064104,2,2,4,4,4,4,2969.4883,-2121.6848,3577.2124,2709.558,4165.418,6723.452,915.4583,418.00192,368.77008,783.5327,73.41975,1207.8677,0
22206.004,1,2,1,37.670345,2,2,2,2,2,2,-1662.6014,6083.893,431.47806,13789.932,13862.705,9198.312,2603.872,-465.7852,1842.3204,977.41797,1309.4867,1108.4541,0
54747.8,2,3,1,34.598637,2,2,2,4,3,3,12048.664,5936.608,10266.432,13295.781,6945.824,10251.63,1984.8982,1843.4521,1133.1049,424.55176,276.742,748.0713,0
40007.918,1,2,1,50.815315,3,2,2,2,2,2,8171.66,13146.085,25905.727,33161.977,23346.582,30661.9,2023.7068,844.4321,1853.2489,988.0862,2419.8303,2208.672,0
17895.91,1,2,2,27.457777,3,2,2,2,2,-1,-15623.965,-3432.6536,1504.7397,10616.424,5678.867,359.40942,29.435825,-1985.5317,646.67975,-1150.4688,2750.1245,1112.0603,0
50770.41,1,1,1,47.014168,2,2,2,2,2,2,2680.3398,8604.917,6721.697,19961.291,17912.31,16028.915,2336.933,-223.9385,1296.1725,1066.4602,1222.8881,1228.9038,0
20621.348,1,2,1,35.681538,2,2,2,2,2,2,17732.223,19097.545,15946.465,26285.58,19561.398,21931.299,1974.8945,-308.17972,2413.8635,1225.206,2616.3567,1311.0693,0
27808.16,1,1,1,42.15249,4,3,2,2,2,0,-11037.781,7764.0454,452.79056,13625.785,16419.365,7903.034,87.97635,1140.5234,893.70807,-1382.4473,2247.632,1075.79,0
41471.137,1,2,2,35.55054,3,2,2,2,2,-1,-10960.699,3289.3386,169.32181,10329.5,3603.5273,3904.7415,31.990513,-2867.087,1445.5167,1015.3169,2448.4749,40076.504,0
17305.723,1,2,2,23.970633,2,2,2,2,2,2,8498.578,9141.257,8898.256,22177.441,20928.871,20383.393,957.59015,58.851044,1946.9926,483.89746,2166.3633,944.19727,0
13815.145,2,3,1,52.02423,2,2,2,2,2,2,-1711.9452,7430.9673,1993.0288,15205.895,8672.242,7305.1846,1600.1279,-209.41605,1567.4242,531.2339,2073.2336,1065.4888,0
4462.52,1,2,1,28.586842,2,0,0,2,2,2,2334.1836,5193.436,2768.0444,10837.275,9768.354,9163.032,1498.4558,1809.1289,1793.9052,1350.6653,1413.9379,1100.2822,0
21291.754,1,2,1,35.785805,2,2,2,2,2,2,16083.922,19345.037,17996.654,26094.182,20052.648,21421.229,2094.4165,275.60007,1434.3876,1581.5334,1551.3275,1520.7139,0
18166.645,2,2,2,25.096077,2,2,2,2,3,2,4389.879,3665.5847,2174.0796,3556.144,30.308634,1857.4407,537.83966,-914.167,1881.266,2037.0662,191.90314,31798.006,0
18932.113,1,1,1,34.10582,2,0,0,2,2,2,4034.5,6354.155,3784.6226,14534.213,15425.701,12972.333,2059.7454,1671.9565,1489.1244,2753.5183,753.3011,1813.1777,0
17805.176,1,2,2,24.009876,2,2,2,2,2,2,6984.918,9403.792,10522.51,21417.6,22097.947,19936.29,1130.0178,1483.5938,985.0191,978.43335,1290.2313,1082.6709,0
60217.637,1,2,1,34.780922,2,2,2,2,2,2,12111.883,15029.12,15059.629,24567.422,20439.166,24541.123,2003.4961,-263.23294,1841.0809,1675.2256,1779.3822,1238.6882,0
79303.64,1,1,1,35.91792,2,2,2,2,2,2,49864.676,59056.35,65076.414,58773.277,54302.543,57910.016,2343.835,1253.021,4350.299,1969.2917,2463.6934,1987.8828,0
42368.363,1,3,1,49.602398,2,2,2,2,2,2,16418.21,23538.69,19020.754,40180.984,31839.37,31689.957,1552.9163,1151.917,3383.5054,667.7949,1905.0211,1475.2661,0
6769.598,1,1,2,23.557224,2,2,2,2,-2,-1,-5928.879,1408.7408,147.91165,8738.684,3830.9258,1123.0579,2773.0505,-1272.8569,1093.2257,-671.50977,1174.257,1245.4814,0
57584.113,2,2,1,35.35842,2,2,2,2,2,2,2720.043,5589.1626,1546.5015,11555.346,6999.7266,7553.8506,2861.2483,-871.24316,2393.2212,1446.7922,1797.837,1144.2432,0
