age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
62.425304,Self-emp-not-inc,275185.0,Masters,14.065628,Married-civ-spouse,Farming-fishing,Husband,White,Male,42415.348,-17.034101,49.05357,United-States,<=50K
54.62195,Self-emp-not-inc,137537.86,HS-grad,9.135197,Divorced,Exec-managerial,Not-in-family,White,Male,35324.094,-13.811697,59.324814,United-States,<=50K
36.383236,Self-emp-not-inc,226048.38,HS-grad,9.1509695,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,42298.133,-15.166677,87.921135,South,<=50K
69.59717,Self-emp-inc,377089.28,Some-college,10.032104,Married-civ-spouse,Sales,Husband,White,Male,10466.742,-1.8289241,39.981243,United-States,<=50K
63.88523,Private,289333.12,Some-college,10.022828,Married-civ-spouse,Exec-managerial,Wife,White,Female,10475.606,-1.295431,35.203144,United-States,<=50K
89.424866,Self-emp-not-inc,155599.84,Bachelors,12.988175,Married-civ-spouse,Prof-specialty,Husband,White,Male,10424.192,-2.2405758,49.86681,United-States,<=50K
55.08159,Self-emp-inc,298309.03,Doctorate,16.051302,Married-civ-spouse,Prof-specialty,Husband,White,Male,-1.43825,2175.0964,60.30987,United-States,<=50K
63.800816,Private,157305.64,HS-grad,9.029991,Married-civ-spouse,Transport-moving,Husband,White,Male,10520.306,-1.9316081,39.96564,United-States,<=50K
40.94918,Private,178060.4,Doctorate,16.03467,Married-civ-spouse,Prof-specialty,Husband,White,Male,10.528547,2054.8572,60.266598,United-States,<=50K
61.86317,Self-emp-not-inc,81245.77,HS-grad,9.027743,Married-civ-spouse,Craft-repair,Husband,White,Male,10480.697,-1.9193324,39.95467,United-States,<=50K
55.11089,Local-gov,176210.89,Masters,13.9891405,Married-civ-spouse,Prof-specialty,Wife,White,Female,-0.8199638,2257.0547,40.012363,United-States,<=50K
67.376945,Private,226977.92,Masters,13.982832,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.11061325,2452.1362,40.006218,United-States,<=50K
43.9752,State-gov,107569.414,Doctorate,16.030191,Married-civ-spouse,Prof-specialty,Husband,White,Male,5098.8545,-0.23001663,60.211452,United-States,<=50K
52.007725,Federal-gov,191790.5,Masters,14.009162,Married-civ-spouse,Exec-managerial,Husband,White,Male,5015.047,-0.3992671,40.008255,United-States,<=50K
19.868307,?,262964.7,Some-college,10.081352,Never-married,?,Other-relative,Black,Male,33312.086,-13.236395,10.081281,United-States,<=50K
44.960686,Private,358022.12,Bachelors,13.006285,Married-civ-spouse,Sales,Husband,White,Male,-0.8947929,2001.0306,55.040092,United-States,<=50K
51.01523,Federal-gov,163932.6,Bachelors,12.997978,Married-civ-spouse,Exec-managerial,Husband,White,Male,1.1421944,1898.3761,40.007656,United-States,<=50K
42.96366,Federal-gov,190549.61,Prof-school,15.013687,Married-civ-spouse,Exec-managerial,Husband,White,Male,2.52696,0.389536,60.29894,United-States,<=50K
42.965393,Self-emp-inc,187769.5,Masters,14.025518,Married-civ-spouse,Exec-managerial,Husband,White,Male,5059.312,0.29057512,44.908607,United-States,<=50K
27.271662,Private,199043.28,Preschool,1.1980456,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,41301.67,-16.266302,23.616098,Mexico,<=50K
59.052845,Private,170581.3,Bachelors,12.986569,Married-civ-spouse,Exec-managerial,Husband,White,Male,-3.6766534,1999.4244,50.02938,United-States,<=50K
46.952404,Self-emp-inc,86299.21,Doctorate,16.00865,Married-civ-spouse,Prof-specialty,Husband,White,Male,4.8383613,0.18115433,50.119953,United-States,<=50K
55.105835,Self-emp-inc,304991.84,Prof-school,15.023782,Married-civ-spouse,Prof-specialty,Husband,White,Male,-1.8784355,-0.049543306,55.11524,United-States,<=50K
43.96933,Private,256165.83,Assoc-voc,10.995338,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,3.7690253,2129.9878,40.049053,Poland,<=50K
66.900116,Private,254623.22,7th-8th,4.0290866,Married-civ-spouse,Transport-moving,Husband,Black,Male,10469.219,-2.2850628,39.95072,United-States,<=50K
66.83549,Private,71898.13,Some-college,10.020942,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,10442.345,-2.0306149,15.188142,United-States,<=50K
62.17901,Private,162124.47,Prof-school,15.027631,Married-civ-spouse,Prof-specialty,Husband,White,Male,-6.7614923,1618.6234,70.07382,United-States,<=50K
46.048443,Private,250170.02,Doctorate,16.01231,Married-civ-spouse,Prof-specialty,Husband,White,Male,1.7570626,0.12830551,70.25121,United-States,<=50K
59.17514,Private,384040.6,Doctorate,16.004381,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.577253,-0.007207795,50.096962,United-States,<=50K
48.953747,Private,237984.83,Doctorate,16.014097,Married-civ-spouse,Sales,Husband,White,Male,-2.2651544,-0.16006272,60.32485,United-States,<=50K
46.978996,Private,194065.48,Doctorate,16.012772,Married-civ-spouse,Sales,Husband,White,Male,-0.5810722,-0.074628755,60.32175,United-States,<=50K
51.00718,Private,153233.34,Some-college,9.994652,Married-civ-spouse,Transport-moving,Husband,White,Male,-1.0017265,2602.996,39.986885,United-States,<=50K
39.971287,Self-emp-inc,110392.21,Assoc-acdm,12.016954,Married-civ-spouse,Craft-repair,Husband,White,Male,6.8235908,2376.1746,50.05343,United-States,<=50K
56.186043,Private,245015.28,Doctorate,16.002401,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.7895683,-0.25262251,50.106243,United-States,<=50K
62.069122,Self-emp-inc,234034.75,Bachelors,12.995278,Married-civ-spouse,Exec-managerial,Husband,White,Male,5034.628,-0.85052294,49.98807,United-States,<=50K
57.134163,Self-emp-not-inc,21044.125,Masters,13.984244,Married-civ-spouse,Sales,Husband,White,Male,-13.232317,2129.512,70.11432,United-States,<=50K
61.212334,Local-gov,180185.86,Doctorate,16.005283,Married-civ-spouse,Exec-managerial,Husband,White,Male,4144.735,-0.79376024,39.98258,United-States,<=50K
43.984,Private,147166.92,Doctorate,16.000277,Married-civ-spouse,Prof-specialty,Husband,White,Male,6.1392646,0.33367357,50.104084,United-States,<=50K
49.982826,Self-emp-inc,194343.36,Bachelors,13.002613,Married-civ-spouse,Exec-managerial,Husband,White,Male,2.867292,1663.9451,47.955383,United-States,<=50K
48.00002,Private,247451.61,Bachelors,13.002805,Married-civ-spouse,Exec-managerial,Husband,White,Male,5053.308,-0.021589205,44.969807,United-States,<=50K
